Name,Year,Gender,Link,Cast,Directors,Description
(Des)encanto,2018,Acción y aventuras de TV,https://www.netflix.com/ar/title/80095697,"El deber llama, pero Bean solo oye el llamado de la bebida. Entre tragos, la rebelde princesa enfurece al rey y siembra el caos con su demonio personal y su amigo elfo.","Abbi Jacobson,Eric André,Nat Faxon","El deber llama, pero Bean solo oye el llamado de la bebida. Entre tragos, la rebelde princesa enfurece al rey y siembra el caos con su demonio personal y su amigo elfo."
Un lugar para soñar,2019,Series basadas en libros,https://www.netflix.com/ar/title/80240027,"Una enfermera practicante se muda a un pueblito del norte de California buscando tranquilidad, pero encuentra algo (y alguien) que la moviliza.","Alexandra Breckenridge,Martin Henderson,Tim Matheson","Una enfermera practicante se muda a un pueblito del norte de California buscando tranquilidad, pero encuentra algo (y alguien) que la moviliza."
Oscuro deseo,2020,Misterios para TV,https://www.netflix.com/ar/title/81090319,"Alma, una mujer casada, vive una escapada de fin de semana que enciende una pasión, desencadena una desgracia y la hace dudar de su círculo más íntimo.","Maite Perroni,Erik Hayser,Alejandro Speitzer","Alma, una mujer casada, vive una escapada de fin de semana que enciende una pasión, desencadena una desgracia y la hace dudar de su círculo más íntimo."
Grace and Frankie,2015,Sitcoms,https://www.netflix.com/ar/title/80017537,"No son amigas, pero como sus esposos las dejaron para estar juntos, la rígida Grace y la excéntrica Frankie se reúnen en esta serie nominada a los Emmy.","Jane Fonda,Lily Tomlin,Martin Sheen","No son amigas, pero como sus esposos las dejaron para estar juntos, la rígida Grace y la excéntrica Frankie se reúnen en esta serie nominada a los Emmy."
Superheroicos,2020,Películas familiares,https://www.netflix.com/ar/title/80994666,"Cuando los extraterrestres capturan a los superhéroes de la Tierra, sus hijos deben aprender a trabajar juntos para salvar a sus padres y al planeta.","YaYa Gosselin,Pedro Pascal,Priyanka Chopra Jonas","Cuando los extraterrestres capturan a los superhéroes de la Tierra, sus hijos deben aprender a trabajar juntos para salvar a sus padres y al planeta."
La casa de muñecas de Gabby,2021,Dibujos animados,https://www.netflix.com/ar/title/81009946,"¡Gatos lindos, manualidades divertidas y magia colorida! Únete a Gabby y a Pandy Patas en esta serie de aventuras animadas.","Laila Lockhart Kraner,Tucker Chandler,Juliet Donenfeld","¡Gatos lindos, manualidades divertidas y magia colorida! Únete a Gabby y a Pandy Patas en esta serie de aventuras animadas."
Vivir sin permiso,2018,Series basadas en libros,https://www.netflix.com/ar/title/80241001,"Construyó un negocio respetable encima del narcotráfico, pero el alzhéimer llegó de repente para apurar su retiro. La guerra por la sucesión está a punto de comenzar.","José Coronado,Álex González,Claudia Traisac","Construyó un negocio respetable encima del narcotráfico, pero el alzhéimer llegó de repente para apurar su retiro. La guerra por la sucesión está a punto de comenzar."
Sex Education,2019,Comedias de TV,https://www.netflix.com/ar/title/80197526,"Por tener una madre terapeuta, Otis siempre tiene una respuesta cuando de sexo se trata. Así que su rebelde amiga Maeve le propone abrir una clínica de terapia sexual.","Asa Butterfield,Gillian Anderson,Ncuti Gatwa","Por tener una madre terapeuta, Otis siempre tiene una respuesta cuando de sexo se trata. Así que su rebelde amiga Maeve le propone abrir una clínica de terapia sexual."
Ozark,2017,Dramas de TV,https://www.netflix.com/ar/title/80117552,Un asesor financiero arrastra a su familia desde Chicago hasta los lagos de Ozark para lavar 500 millones de dólares en cinco años y tranquilizar a un jefe narco.,"Jason Bateman,Laura Linney,Sofia Hublitz",Un asesor financiero arrastra a su familia desde Chicago hasta los lagos de Ozark para lavar 500 millones de dólares en cinco años y tranquilizar a un jefe narco.
Better Call Saul,2015,Dramas de TV,https://www.netflix.com/ar/title/80021955,"Una serie nominada al Emmy que deriva de ""Breaking Bad"" y sigue la metamorfosis del abogado Jimmy McGill en Saul Goodman, el asesor inescrupuloso de Walter White.","Bob Odenkirk,Jonathan Banks,Rhea Seehorn","Una serie nominada al Emmy que deriva de ""Breaking Bad"" y sigue la metamorfosis del abogado Jimmy McGill en Saul Goodman, el asesor inescrupuloso de Walter White."
El Dragón: El regreso de un guerrero,2019,Telenovelas,https://www.netflix.com/ar/title/81098497,"Para reemplazar a su abuelo como jefe de un cártel, un financista regresa a su México natal, donde debe luchar con otros dos líderes que quieren tomar el control.","Sebastián Rulli,Renata Notni,Roberto Mateos","Para reemplazar a su abuelo como jefe de un cártel, un financista regresa a su México natal, donde debe luchar con otros dos líderes que quieren tomar el control."
