Name,Year,Type,Gender,Rating,Link,Cast,Directors,Description
Party Tricks,2014 ,Serie, Romance ,No Rating,https://acorn.tv/partytricks/,"Asher Keddie,Rodger Corser,Ash Ricardo,Angus Sampson,Adam Zwar","Network 10, Eleven","Love and politics make for scandalous bedfellows in this sizzling Australian drama. Rodger Corser (The Heart Guy) and Asher Keddie (Offspring) star as rival candidates for elected office who had a secret, tumultuous affair years earlier. Now unexpectedly pitted against each other for State Premier, can they keep the campaign aboveboard - or is their past poised to upset the race?"
Anzac Girls,2014 ,Serie, Drama ,No Rating,https://acorn.tv/anzacgirls/,"Georgia Flood,Anna McGahan,Laura Brent,Caroline Craig,Antonia Prebble","Premio Logie al Mejor Nuevo Talento, MÁS","Cinco jóvenes australianas y neo zelandesas encuentran amor, desengaño y amistad verdadera durante la Primera Guerra Mundial."
Hidden (Welsh Version),No year,Serie,No genre,No Rating,https://acorn.tv/hidden_intl/,No casters,No Directors,"Cuando el cuerpo de una mujer joven aparece con evidencia de que había sido prisionera, la investigación lleva al DI Cadi John (Sian Reese-Williams, Requiem) a una serie de desapariciones en un rincón remoto pero llamativo de Gales. Este thriller negro del equipo detrás de Hinterland es un misterio apasionante con ""excelentes actuaciones en todos los aspectos"" (KillingTimes.tv)."
The Slap,2011 ,Serie, Drama ,No Rating,https://acorn.tv/slap/,"Melissa George,Sophie Okonedo,Jonathan LaPaglia,Essie Davis,Alex Dimitriades","Jessica Hobbs, Matthew Saville, Tony Ayres, Robert Connolly","Basado en la novela de Christos Tsiolkas, este drama australiano explora cómo un solo suceso puede tener consecuencias importantes para un grupo de familia y amigos."
East of Everything,2008 ,Serie, Drama ,No Rating,https://acorn.tv/eastofeverything/,"Tom Long,Richard Roxburgh,Susie Porter,Kathryn Beck,Gia Carides",13,"En este drama australiano, lleno de humor y melancolía, Art Watkins se ve obligado a regresar a casa en Broken Bay tras el fallecimiento de su madre, quien deja estipulado en su testamento que él debe reabrir el pequeño hostal familiar junto con su hermano Vance, a quien no ve desde hace años. A regañadientes, Art empezará a dejarse envolver por la vida de los locales, incluyendo a su exprometida."
Striking Out,2017 ,Serie, Drama legal ,No Rating,https://acorn.tv/strikingout/,"Amy Huberman,Rory Keenan,Emmet Byrne,Neil Morrissey,Fiona O'Shaughnessy","Lisa James Larsson, Simon Massey","En este cautivador drama de Acorn TV, Tara Rafferty (Amy Huberman, The Clinic) es una abogada exitosa en Dublín, comprometida con otro compañero de la firma donde labora, pero su vida da un vuelco inesperado al descubrir que su futuro esposo la engaña con otra colega, por lo que rompe su compromiso y deja su trabajo. Tara tendrá una vida nueva donde abrirá un despacho jurídico bastante peculiar."
Undeniable,2014 ,Serie, Suspenso ,No Rating,https://acorn.tv/undeniable/,"Claire Goose,Felix Scott,Christine Bottomley,Pippa Haywood,Peter Firth","ITV, STV, UTV","De niña, Jane Philips (Claire Goose, Waking the Dead) sobrevivió al ataque brutal de un hombre que asesinó a su madre. Veinte años después, se topa con él cara a cara. No obstante, Andrew Rawlins (Peter Firth, MI-5) es un doctor renombrado. Jane está segura de que él es el asesino, pero ante la duda de muchos, ¿será que el trauma está jugando con su mente? Y si no, ¿cómo podría demostrarlo?"
Bed of Roses,2008 ,Serie, Drama ,No Rating,https://acorn.tv/bedofroses/,"Kerry Armstrong,Julia Blake,Hanna Mangan‑Lawrence,Jay Laga'aia,Caroline Gillmer",Miranda Dear; Amanda Higgs,"La protagonista de esta tierna dramedy australiana, Louisa Atherton, una joven acostumbrada a la vida holgada, de pronto enviuda a los 49 años y su vida se pone de cabeza. Ahora, sin un centavo, ella y su hija adolescente regresan al hogar maternal, una casucha desvencijada donde vive la abuela que hace tiempo no ven. ¿Podrá Louisa reinventarse y reparar sus relaciones familiares?"
Run,2020 ,Serie, thriller cómico ,3.5,https://acorn.tv/run/,"Merritt Wever,Phoebe Waller‑Bridge,Domhnall Gleeson,Archie Panjabi,Rich Sommer",HBO,"Ganadora del premio Royal Television Society al mejor escritor, esta conmovedora miniserie británica enlaza las historias de cuatro personas que deben tomar decisiones cruciales en su vida. Contundente e implacable, pero llena de humanidad y esperanza, ""Run"" explora cómo todas las decisiones tienen consecuencias en un mundo interconectado. Protagonizan Olivia Colman (Broadchurch), Lennie James (The Walking Dead) y Katie Leung (Harry Potter)."
Thorne,2010 ,Serie, Crimen ,No Rating,https://acorn.tv/thorne/,"David Morrissey,Lorraine Ashbourne,Aidan Gillen,O. T. Fagbenle,Eddie Marsan","Premio Gemini a la Mejor Actuación de un Actor de Reparto en un Programa o Miniserie Dramática, MÁS",Este drama policíaco británico cuenta con un elenco estelar y apasionantes misterios criminales.
The Commander,2003 ,Serie, Crimen ,No Rating,https://acorn.tv/commander/,"Amanda Burton,Paul Brightwell,Matthew Marsh,Poppy Miller,Mark Lewis Jones","STV, UTV, ITV","Esta cautivante serie de suspenso de la creadora de Prime Suspect Lynda La Plante sigue las investigaciones de crímenes del Comandante Clare Blake, la mujer oficial de más alto rango del Nuevo Scotland Yard, la Comandante del Grupo de Crímenes Graves, y líder del Grupo de Análisis de Asesinatos."
The Secret Agent,2016 ,Serie, Drama ,No Rating,https://acorn.tv/secretagent/,"Toby Jones,Vicky McClure,David Dawson,Charlie Hamblett,Stephen Graham",Tony Marchant,"En esta adaptación de la novela intrigante de Joseph Conrad, el nominado al Golden Globe® Toby Jones (The Hunger Games) es Anton Verloc, el discreto dueño de una tienda en la época Victoriana en Soho, que también trabaja de espía para el gobierno ruso, sin que su esposa fiel, Winnie (Vicky McClure, Line of Duty) ni nadie más se percate. Una encrucijada explosiva entre la política y el anarquismo."
Growing Up Gracefully,No year,Serie,No genre,No Rating,https://acorn.tv/growingupgracefully/,No casters,No Directors,"Hannah y Eliza son dos hermanas jóvenes que al encontrar un libro de los años 50 para señoritas con consejos sobre cómo crecer de manera agraciada, se sorprenderán y diseñarán un experimento: una de ellas seguirá las reglas antiguas mientras que la otra hará lo opuesto y se apegará a la generación moderna, influenciada por internet. ¿Acaso obtendrán la clave de cómo crecer de manera agraciada?"
Foyle's War,2002 ,Serie, Drama ,5.0,https://acorn.tv/foyleswar/,"Honeysuckle Weeks,Michael Kitchen,Anthony Howell,Julian Ovenden,James McAvoy","ITV, STV, UTV","Mientras que la Segunda Guerra Mundial prosigue del otro lado del Canal, el detective Christopher Foyle permanece de mala gana en su puesto en este pacífico pueblo costero inglés. La temporada 9 tiene a Foyle investigando casos relacionados con la política petrolera internacional, antisemitismo, y las actividades bélicas de la DOE."
Fortitude,2015 ,Serie, Misterio ,4.0,https://acorn.tv/fortitude/,"Richard Dormer,Sofie Gråbøl,Luke Treadaway,Sienna Guillory,Dennis Quaid",presente,"Este thriller es sobre el pueblo más ""seguro"" del Ártico, hasta que empiezan muertes extrañas, mientras que la incrédula población va revelando, junto con el hielo que se derrite, secretos mortales, con lo que se desata un caos. La gobernadora, la policía, los doctores y científicos lucharán para dar con el asesino. Estelarizan Michael Gambon, Stanley Tucci, Richard Dormer y Christopher Eccleston."
Dead Lucky,2018 ,Serie, Crimen ,No Rating,https://acorn.tv/deadlucky/,"Yoson An,Rachel Griffiths,Susana Tang,Ian Meadows,Mojean Aria","Logie Award for Most Outstanding Supporting Actor, MÁS","La actriz nominada al Oscar® Rachel Griffiths (Six Feet Under) protagoniza este misterio cinematográfico. La detective Grace Gibbs esta obsesionada con atrapar al asaltante armado que mató a su pareja, mientras que su nuevo aprendiz (Yoson An, Mortal Engines) la culpa de la muerte de su mejor amigo. Los detectives en riña deben trabajar juntos para atrapar a un asesino que deja en su camino vidas rotas por todo Sídney."
The Good Karma Hospital Series 1 and 2 - Latin America - July 27,No year,Serie,No genre,No Rating,https://acorn.tv/goodkarmahospital_cs/,No casters,No Directors,"Buscando un nuevo comienzo, la Dra. Ruby Walker (Amrita Acharia, Game of Thrones) toma un trabajo en la India en el destartalado Hospital Good Karma, dirigido por la formidable Dra. Lydia Fonseca (Amanda Redman, New Tricks). En este conmovedor drama también protagonizan Phyllis Logan (Downton Abbey), Philip Jackson (Poirot, de Agatha Christie) y Darshan Jariwalla (Sense8)."
The Palace,2008 ,Serie, Drama ,No Rating,https://acorn.tv/palace/,"Zoe Telford,Sophie Winkleman,Rupert Evans,Roy Marsden,Sebastián Armesto","ITV, STV, UTV","Luego de la repentina muerte del rey James III, su hijo Richard, de 24 años y muy proclive a los excesos, asciende el trono de Inglaterra, muy a pesar de su hermana mayor. Disputas rencorosas, libros contándolo todo, y escándalos amenazan con destruir a la familia y al rey mismo."
Cold Call,No year,Serie,No genre,No Rating,https://acorn.tv/coldcall/,"Sally Lindsay,Katie Redford,Taj Atwal,Daniel Ryan,Paul Higgins",Mark Buckland,"Thriller oscuro en el que June (Sally Lindsay), una madre soltera, cae víctima de un fraude telefónico, por lo que pierde todos los ahorros que obtuvo al vender su casa. Para salvar el futuro de su familia buscará a los responsables con la ayuda de Des (Daniel Ryan), un viejo conocido, y tomará medidas cada vez más desesperadas para lograr su objetivo. ""Es un drama convincente"" (The Times)."
Patrick Melrose,2018 ,Serie, Drama ,4.7,https://acorn.tv/patrickmelrose/,"Benedict Cumberbatch,Jennifer Jason Leigh,Hugo Weaving,Jessica Raine,Anna Madeley","Sky Atlantic, Showtime","Benedict Cumberbatch interpreta a la perfección los cómicos y devastadores altibajos de la vida de un aristócrata inglés, desde su traumática infancia, bajo el cuidado de un padre abusivo (Hugo Weaving, The Lord of the Rings, The Matrix) y madre negligente (Jennifer Jason Leigh, The Hateful Eight), al clímax de su adicción a la heroína y sus intentos por mantenerse sobrio para apoyar a su familia."
The Level,2016 ,Serie, Suspenso ,No Rating,https://acorn.tv/level/,"Karla Crome,Laura Haddock,Rob James‑Collier,Lindsey Coulson,Noel Clarke",Gaby Chiappe,"Esta emocionante serie original de Acorn TV presenta ""un gran elenco y una trama llena de vueltas de tuerca"" (Evening Standard, UK) La detective Nancy Devlin es una buena policía con un oscuro secreto: ve al narcotraficante Frank Le Saux como un padre."
¿Qué es Acorn TV?,No year,Serie,No genre,No Rating,https://acorn.tv/whatisacorntv/,No casters,No Directors,"Bienvenido(a) a Acorn TV. Aquí podrás disfrutar de misterios emocionantes, dramas imperdibles y comedias cálidas desde Gran Bretaña y más allá. Disfruta maratones exclusivos de programas internacionales y galardonados de clase mundial en Acorn TV. Con miles de horas de programación y nuevos estrenos todos los jueves, siempre tendrás algo para ver. Todo el contenido está disponible en su idioma original, inglés, y con subtítulos en español."
Family Business (Clean Version),No year,Serie,No genre,No Rating,https://acorn.tv/familybusiness_intl/,No casters,No Directors,"En este brillante drama francés, la madre y la hija Astrid (Catherine Marchal) y Audrey (Ophélia Kolb) son abogadas especializadas en derecho de familia que toman la peligrosa decisión de trabajar juntas. Junto con su compañera Sofía (Charlotte des Georges), tratan con clientes que van desde una pareja divorciada que se pelea por su bulldog hasta turbios negocios de fertilidad. ""Divertida, conmovedora y cálida"" - Marie Claire."
Moving On,2009 ,Serie, Drama ,No Rating,https://acorn.tv/movingon/,"Melanie Kilburn,Jo‑Anne Knowles,Paula Wilcox,Jack Deam,Amy Nuttall",Jimmy McGovern,"Esta multipremiada antología creada por Jimmy McGovern (Cracker, The Street) explora los momentos de crisis que las personas atraviesan en sus vidas y cómo salen adelante. Con participaciones estelares de actores invitados de primer nivel, cada episodio sigue a un personaje central que enfrenta problemas relevantes en la sociedad contemporánea, y muestra la vastedad de la naturaleza humana."
George Gently,2007 ,Serie, Crimen ,4.9,https://acorn.tv/georgegently/,"Martin Shaw,Lee Ingleby,Simon Hubbard,Lisa McGrillis,Melanie Clark Pullen","BBC, BBC One","En esta aclamada serie de la BBC, el inspector George Gently es un policía incorruptible que resuelve crímenes en el noreste de Inglaterra a mediados de los años sesenta."
Mr. and Mrs. Murder,2013 ,Serie, Comedia ,No Rating,https://acorn.tv/mrandmrsmurder/,"Shaun Micallef,Kat Stewart,Jonny Pasvolsky,Lucy Honigman,Georgina Naidu","Shaun Micallef, Jason Stephens","En esta producción australiana, la muy divertida y coqueta pareja de casados Nicola y Charlie Buchanan trabajan limpiando escenas del crimen. Estos detectives amateur pronto se dan cuenta que revolver un crimen es tan natural para ellos como limpiar el lugar donde se cometió."
Girlfriends,2018 ,Serie, Drama ,No Rating,https://acorn.tv/girlfriends/,"Phyllis Logan,Zoë Wanamaker,Miranda Richardson,Matthew Lewis,Daisy Head",Ain't No Mountain High Enough,"Acclaimed actresses Phyllis Logan (The Good Karma Hospital, Downton Abbey), Miranda Richardson (Harry Potter films), and Zoe Wanamaker (Poirot) star in this addictive new drama from Kay Mellor, the BAFTA Award-winning creator of Love, Lies & Records. Three women of a certain age are juggling the challenges of modern life when a tragedy exposes secrets that put their friendship to the test."
Martin Clunes' Islands of America,No year,Serie,No genre,No Rating,https://acorn.tv/islandsofamerica/,"Martin Clunes: Islands o...,Martin Clunes: A Man & H...,Martin Clunes: My Trav...,Islands of Britain,Martin Clunes Horsepower",Martin Clunes,"Martin Clunes (Doc Martin, Manhunt) es un ""compañero de viaje adorable"" (The Independent) en este viaje divertido y educativo de las maravillosas costas de Estados Unidos. Desde los volcanes de Hawái hasta las colonias de focas de California, desde el baile de salsa en Puerto Rico hasta los ponis salvajes nadando en Virginia, este encantador diario de viaje muestra paisajes impresionantes y diversos; encuentros increíbles con la vida silvestre; y comentarios interesantes."
Collision,2009 ,Serie, Drama ,No Rating,https://acorn.tv/collision/,"Douglas Henshall,Dean Lennox Kelly,Jo Woodcock,Lucy Griffiths,David Bamber","ITV, STV, UTV","""Del creador de Foyle's War, esta miniserie ""brillante"" (TV Times) y ""terriblemente atractiva"" (Telegraph) describe un devastador accidente automovilístico, su impacto en las víctimas y las muchas revelaciones que surgen, desde el contrabando hasta las conspiraciones y desde el romance hasta el asesinato. Douglas Henshall (Shetland) y Kate Ashfield (Shaun of the Dead) protagonizan como detectives, junto con Phil Davis, Lucy Griffiths y Paul McGann."
Wild at Heart,2006 ,Serie, Drama ,No Rating,https://acorn.tv/wildatheart/,"Stephen Tompkinson,Deon Stewardson,Lucy‑Jo Hudson,Amanda Holden,Luke Ward‑Wilkinson","ITV, STV, UTV, ITV HD","In this hit British drama series, a newly blended family finds common ground in the African bush. The Trevanions are a troubled brood when father Danny (Stephen Tompkinson, Brassed Off) takes them on a trip to Africa. Vacation turns to vocation when they decide to restore a rundown game reserve."
Civil War,1990 ,Serie, Bélico ,4.9,https://acorn.tv/civilwars/,"Civil War Combat,The War,Grant,Los parques nacional...,Baseball","Premio People's Choice a la Película o Miniserie de TV Favorita, MÁS","The English Civil War tore apart that country in the 17th century and toppled the monarchy--only for the crown to be restored a decade later. In this fascinating docuseries, historian Dr. Tristram Hunt explores the religious and political unrest that reverberated throughout England, Scotland, and Ireland, part of a wider struggle for supremacy between Catholics and Protestants in Europe."
Newton's Law,2017 ,Serie, Drama ,No Rating,https://acorn.tv/newtonslaw/,"Claudia Karvan,Georgina Naidu,Toby Schmitz,Sean Keenan,Jane Hall",ABC,"From the team behind Miss Fisher's Murder Mysteries, this Aussie legal drama is ""intelligent, stylish and nicely romantic"" (The Australian). Claudia Karvan (Jack Irish) stars as Josephine Newton, a skilled lawyer juggling her busy personal life along with a full caseload of quirky clients."
Detectorists,2014 ,Serie, Comedia ,5.0,https://acorn.tv/detectorists/,"Mackenzie Crook,Toby Jones,Rachael Stirling,Pearce Quigley,Gerard Horan",Mackenzie Crook,Mackenzie Crook (Piratas del Caribe) y Toby Jones (Historia de un Crimen) hacen una gran comedia en esta serie sobre dos hombres raros que recorren la campiña inglesa en busca de tesoros.
Britain's Bloodiest Dynasty,2014 ,Serie, Documental ,No Rating,https://acorn.tv/britainsbloodiestdynasty/,"Henry VIII and His Six Wives,Elizabeth I,Secrets of Great British C...,The Plantagenets,Monarchy",Documental,"Este emocionante documental en cuatro partes cuenta la historia de la familia Plantagenet que asumió control de Inglaterra, permaneciendo en el poder y despiadadamente aplastando a sus rivales durante 300 años."
East West 101,2007 ,Serie, Drama ,No Rating,https://acorn.tv/eastwest/,"Don Hany,Aaron Fa'aoso,Daniela Farinacci,Susie Porter,Renee Lim","Premio AACTA a la Mejor Serie Dramática de Televisión, MÁS","Siendo un musulmán devoto en la Australia después del 11 de septiembre, el detective Zane Malik siente la presión constante por probar su valía, pero choca frecuentemente con su jefe de la vieja escuela. Esta aclamada y galardonada serie de crimen encara los difíciles temas del mundo actual."
Mystery Road,2018 ,Serie, Misterio ,4.5,https://acorn.tv/mysteryroad/,"Aaron Pedersen,Tasma Walton,Judy Davis,Tasia Zalar,Wayne Blair","Kodie Bedford, Steven McGregor, Michaeley O'Brien","En el interior de Australia, la policía Emma James y el detective Jay Swan investigarán el caso de 2 chicos desaparecidos, pero solucionar tal misterio puede conducirlos a otros crímenes que asustan a este pueblo remoto, afligido por delitos, sospechas, secretos y mentiras. Protagonizan la actriz dos veces nominada al premio Oscar® Judy Davis (Feud, Life with Judy Garland) y Aaron Pedersen (Jack Irish)."
The Field of Blood,2011 ,Serie, Drama ,No Rating,https://acorn.tv/fieldblood/,"Jayd Johnson,Bronagh Gallagher,Ford Kiernan,Matt Costello,David Morrissey",Denise Mina,"Este aclamado drama policíaco de la BBC, sito en el Glasgow violento a comienzo de los años ochenta, sigue a Paddy, una periodista que se esfuerza por abrirse camino en la sala de redacción machista del Daily News. Su dedicación a la búsqueda de la verdad amenaza a ponerla en grave peligro."
One Lane Bridge,No year,Serie,No genre,No Rating,https://acorn.tv/onelanebridge/,No casters,No Directors,"En este misterio criminal con un toque oscuro y sobrenatural, el joven y ambicioso detective maorí Ariki Davis se une a la investigación de homicidio de una leyenda local en el infame One Lane Bridge. Mientras su jefe, el detective Tremaine dirige, Ariki desbloquea una habilidad sobrenatural en él. Conforme la presión para resolver el crimen aumenta, este don amenazará el caso, su carrera y su vida."
Winter,2015 ,Serie, Drama ,No Rating,https://acorn.tv/winter/,"Rebecca Gibney,Peter O'Brien,Akos Armont,Matthew Nable,Sara West",Seven Network,"En este fascinante drama de misterio australiano, un pequeño pueblo se estremece luego de que la búsqueda de una adolescente extraviada revela los cuerpos de cinco mujeres en el campo. La detective Eve Winter (Rebecca Gibney en la serie Packed to the Rafters) se encarga de la investigación con su élite de detectives de homicidio."
Sensitive Skin,2014 ,Serie, Comedia ,No Rating,https://acorn.tv/sensitiveskin/,"Kim Cattrall,Don McKellar,Bob Martin,Colm Feore,Nicolas Wright","Canadian Screen Awards: Premio Bell Media a la Mejor Interpretación Continua de una Actriz en un Papel Cómico Principal, MÁS","La ganadora del Globo de Oro® Kim Cattrall (Sex and the City) ""nunca ha estado mejor"" (The Guardian) que en esta ingeniosa y conmovedora drama-comedia sobre la crisis de la mediana edad. Como mujer de cierta edad, vende la casa de la familia y se muda con su marido de toda la vida (Don McKellar, Slings & Arrows) a un condominio en el centro de la ciudad en un esfuerzo consciente por cambiar sus vidas y comenzar de nuevo. Desafortunadamente, eso es exactamente lo que sucede."
The Great Train Robbery,2013 ,Serie, Drama ,No Rating,https://acorn.tv/greattrainrobbery/,"Luke Evans,Jack Roth,Martin Compston,Robert Glenister,Paul Anderson","Julian Jarrold, James Strong","El 8 de agosto, 1963, Gran Bretaña amanece con la noticia del robo más grande en su historia. ¿Quién se atrevió a ejecutar un asalto tan audaz? Este electrizante drama del aclamado escritor de Broadchurch es la historia clásica de un robo y a la vez un misterio fascinante de la vida real."
Upper Middle Bogan,2013 ,Serie, Comedia ,No Rating,https://acorn.tv/uppermiddlebogan/,"Annie Maynard,Michala Banas,Patrick Brammall,Robyn Butler,Madeleine Jevic","ABC, ABC Television","La vida perfecta y lujosa de la doctora Bess Denyar se pone de cabeza cuando se entera de que es adoptada y conoce a sus padres biológicos, los Wheeler, quienes, junto con sus hijos, dirigen un equipo de carreras de aceleración a las afueras de la ciudad. Encontrar un punto de encuentro entre dos familias tan contrastantes será un gran reto para Bess, pero con resultados divertidos y conmovedores."
Indian Summers,2015 ,Serie, Pieza de época ,No Rating,https://acorn.tv/indiansummers/,"Henry Lloyd‑Hughes,Julie Walters,Nikesh Patel,Jemima West,Aysha Kala","Paul Rutman, Lisa McGee, Anna Symon, Nicole Taylor","Fijado en la grandeza del Himalaya, esta saga radical relata los dramáticos últimos años del imperio británico en India. Julie Walters (Películas de Harry Potter) encabeza un reparto coral que representan a dos familias -- una británica y una india -- a las cuales las junta y las separa la política, los valores conflictivos y el amor ilícito. ""Convincente...deliciosamente espumosa y llena de sol"" -- The Hollywood Reporter."
Land Girls,2009 ,Serie, Drama ,4.5,https://acorn.tv/landgirls/,"Becci Gemmell,Susan Cookson,Sophie Ward,Mark Benton,Mykola Allen","BBC, BBC One","Este drama de la época de la BBC con un encantador elenco sigue las vidas, los amores, los altibajos de los miembros del Ejército de Mujeres de la Tierra durante la Segunda Guerra Mundial. Mientras los hombres luchaban en los campos de batalla, las mujeres de todos los ámbitos de la vida trabajaban en las granjas que alimentaban a la nación, haciendo su parte para mantener el frente en funcionamiento."
Murdoch Mysteries,2008 ,Serie, Misterio ,4.8,https://acorn.tv/murdoch/,"Yannick Bisson,Hélène Joy,Jonny Harris,Thomas Craig,Lachlan Murdoch","CBC, Ovation, Citytv","En sus vacaciones, Murdoch y Julia visitan al hermano de Murdoch, Jasper (Dylan Neal, Dawson's Creek), pero terminan investigando un asesinato en un sitio arqueológico, que los lleva a encuentros con los nativos songish y haida. Mientras tanto, a los Brackenreid les surge una oportunidad de inversión y Crabtree y Higgins planean ir a esquiar. Con la aparición de Megan Follows (Reign)."
No Tears,No year,Serie,No genre,No Rating,https://acorn.tv/notears/,No casters,No Directors,"Como una potente crítica a la corrupción y una inspirante historia del poder de las personas, esta fascinante miniserie dramatiza un escándalo médico de la vida real que sacudió a Irlanda."
Finding Joy,2018 ,Serie, 2 temporadas,No Rating,https://acorn.tv/findingjoy/,"Amy Huberman,Lochlann O'Mearain,Paul Reid,Peter McDonald,Aisling Bea",Amy Huberman,"Amy Huberman (Striking Out, The Clinic) creó, escribió y protagoniza esta peculiar comedia irlandesa que afirma la vida. Joy ordenada y estructurada está lidiando con una ruptura desordenada cuando una nueva asignación de trabajo la obliga a buscar la felicidad en los lugares más inusuales. ""Huberman tiene simpatía cálida, casi sin esfuerzo en espadas"" -Independiente (Irlanda). Co-protagonizada por el aclamado comediante irlandés Aisling Bea."
Black Widows (Scandinavian Version),No year,Serie,No genre,No Rating,https://acorn.tv/blackwidows_intl/,No casters,No Directors,"Este drama escandinavo sigue las crisis de la mediana edad de tres mejores amigas: Rebecka, Johanne y Kira. Cuando un relajante fin de semana en Noruega se torna desastroso después de un accidente, las vidas de las mujeres jamás serán iguales."
Like Father Like Son,2005 ,Serie, Crimen ,No Rating,https://acorn.tv/likefatherlikeson/,"Somerset Sidney Prew,Francesca Fowler,Jemma Redgrave,Florence Bell,Robson Green",Crimen,"Dee Stanton (Jemma Redgrave, Holby City) parece tener la vida perfecta, con una próspera carrera y un apuesto prometido (Robson Green, Grantchester). Pero el pasado trágico de Dee regresa a atormentarla cuando su hijo descubre que su padre es un asesino en serie. Después del asesinato de una chica, Dee teme que la historia se esté repitiendo. En esta emocionante serie de misterio psicológico también protagoniza Tara Fitzgerald (Game of Thrones)."
The Last Enemy,2008 ,Serie, Drama ,No Rating,https://acorn.tv/lastenemy/,"Benedict Cumberbatch,Anamaria Marinca,Max Beesley,Robert Carlyle,Geraldine James","Premio Satellite al Mejor Actor de Miniserie o Película Para Televisión, Premio Satellite a la Mejor Miniserie","En este thriller, el nominado al premio Oscar®, Benedict Cumberbatch (Sherlock) es un genio matemático que se verá atrapado en casos turbios de encubrimiento y de alcance internacional, donde el gobierno británico cuenta con una base de datos centralizada para vigilar al 100% a sus ciudadanos. ¿En quién podrá confiar? Con Max Beesley (Hotel Babylon) y Robert Carlyle (Once Upon a Time)."
Elizabeth I,2005 ,Serie, Drama ,No Rating,https://acorn.tv/elizabeth/,"Helen Mirren,Jeremy Irons,Hugh Dancy,Toby Jones,Patrick Malahide","Premio Satellite a la Mejor Actriz de Miniserie o Película para Televisión, MÁS","Helen Mirren, Jeremy Irons y Hugh Dancy estelarizan esta miniserie galardonada con múltiples premios Emmy® y Golden Globe® que trata sobre la vida y amores de la reina Isabel I. Más allá del mito, conoceremos sus historias íntimas; desde su amor por el conde de Leicester hasta su pasión por el traicionero conde de Essex. Una joya que el New York Times describió como ""Un rico retrato de una mujer poderosa""."
Home Fires,2015 ,Serie, Pieza de época ,4.8,https://acorn.tv/homefires/,"Samantha Bond,Claire Rushbrook,Clare Calbraith,Francesca Annis,Ruth Gemmell",Simon Block,"¡Mujeres al frente! Las aclamadas actrices Samantha Bond (Downton Abbey, Outnumbered) y Francesca Annis (The Little House, Cranford) encabezan un impresionante elenco en este drama de época que el Wall Street Journal califica de ""irresistible"". Mientras se avecina la Segunda Guerra Mundial, las mujeres de una comunidad rural de Cheshire se unen para apoyar el esfuerzo de la guerra, a su pueblo y unas a otras."
Midsomer Murders,1997 ,Serie, Misterio ,4.7,https://acorn.tv/midsomermurders/,"John Nettles,Neil Dudgeon,Jane Wymark,Fiona Dolman,Barry Jackson","Caroline Graham, Helen Jenkins","Las típicas series inglesas sobre pueblos misteriosos adquieren un frescor contemporáneo gracias a esta producción que ha acumulado seguidores a nivel mundial. Los ambientes bucólicos darán lugar a crímenes macabros y personajes excéntricos que le darán batalla al detective Tom Barnaby y su equipo ""en un delicioso estilo letalmente encantador"" (Leonard Maltin's Movie Crazy)."
Public Enemies,2012 ,Serie, Drama ,No Rating,https://acorn.tv/publicenemies/,"Daniel Mays,Anna Friel,Lorraine Ashbourne,Barbara Marten,Georgina Rich","BBC, BBC One","Luego de que Eddie Mottram (Daniel Mays, Line of Duty) sale de prisión bajo libertad condicional, su oficial supervisora (Anna Friel, Pushing Daisies, Marcella) trata de ayudarlo a reintegrarse a la sociedad. Pero cuando Eddie asegura que es inocente del crimen que se le acusa, Paula deberá decidir si le cree y si está dispuesta a arriesgar su carrera para ayudarlo."
Mr. Selfridge,2013 ,Serie, Pieza de época ,4.8,https://acorn.tv/selfridge/,"Jeremy Piven,Amanda Abbington,Tom Goodman‑Hill,Ron Cook,Aisling Loftus",Jeremy Piven,"Dubbed ""Downton's racier cousin"" (Independent, UK), this sumptuous drama features Emmy® winner Jeremy Piven (Entourage) as flamboyant American entrepreneur Harry Selfridge, who arrives in London in 1908 with a grand plan--to open the finest department store the world has ever seen. The locals have their doubts, and his staff need convincing. But Harry is undaunted, determined to pursue his dream."
The Indian Doctor,2010 ,Serie, Drama ,4.8,https://acorn.tv/indiandoctor/,"Ayesha Dharker,Sanjeev Bhaskar,Mali Harries,Jacob Oakley,Ifan Huw Dafydd",15,"Este inspirado y entrañable drama de la BBC sigue a un doctor indio que se muda a una pequeña aldea de Gales a comienzos de 1960. Mientras él y su esposa de la alta sociedad se ajustan a la vida en un pueblo minero, comienzan a transformar la comunidad - y la comunidad a ellos."
Jack Taylor,2010 ,Serie, Crimen ,4.5,https://acorn.tv/jacktaylor/,"Iain Glen,Nora Jane Noone,Killian Scott,Pádraic Breathnach,Jack Monaghan","Ken Bruen, Stuart Orme","El bebedor y expolicía Jack Taylor (Iain Glen, Game of Thrones) se convertirá en un rudo detective privado en Galway que luchará contra el crimen y sus demonios."
All Creatures Great & Small,No year,Serie,No genre,No Rating,https://acorn.tv/allcreatures/,No casters,No Directors,"Recién graduado del Colegio de Veterinarios de Glasgow, James Herriot viaja a Yorkshire para alcanzar sus sueños y comienza como asistente del excéntrico doctor Siegfried Farnon. En el ínter deberá lidiar con la familia disfuncional de su jefe, aprender a curar a los animales y tratar con sus dueños; también se sentirá atraído por una chica hermosa que le dará otra razón para quedarse en Yorkshire."
